state,district,party,candidate,votes
MI,10th District,REP,Paul Mitchell,214164
MI,10th District,DEM,Frank Accavitti,109875
MI,10th District,Other,Lisa Gioia,10582
MI,10th District,Other,Benjamin Nofs,5113
MI,11th District,REP,Dave Trott,200787
MI,11th District,DEM,Anil Kumar,152359
MI,11th District,Other,Kerry Bentivolio,16597
MI,11th District,Other,Jonathan Osment,9535
MI,12th District,DEM,Debbie Dingell,210922
MI,12th District,REP,Jeff Jones,95823
MI,12th District,Other,Gary Walkowicz,9177
MI,12th District,Other,Tom Bagwell,7478
MI,12th District,Other,Dylan Calewarts,4370
MI,13th District,DEM,John Conyers,197173
MI,13th District,REP,Jeff Gorman,40483
MI,13th District,Other,Tiffany Hayden,9600
MI,13th District,Other,Sam Johnson,8778
MI,14th District,DEM,Brenda Lawrence,244220
MI,14th District,REP,Howard Klausner,58111
MI,14th District,Other,Gregory Creswell,4898
MI,14th District,Other,Marcia Squier,3851
MN,1st District,DEM,Tim Walz,169076
MN,1st District,REP,Jim Hagedorn,166527
MN,2nd District,REP,Jason Lewis,174030
MN,2nd District,DEM,Angie Craig,167071
MN,2nd District,Other,Paula Overby,28845
MN,3rd District,REP,Erik Paulsen,223075
MN,3rd District,DEM,Terri Bonoff,169238
MN,4th District,DEM,Betty McCollum,202558
MN,4th District,REP,Greg Ryan,120871
MN,5th District,DEM,Keith Ellison,249957
MN,5th District,REP,Frank Drake,80660
MN,6th District,REP,Tom Emmer,235384
MN,6th District,DEM,David Snyder,123012
MN,7th District,DEM,Collin Peterson,173571
MN,7th District,REP,Dave Hughes,156950
MN,8th District,DEM,Rick Nolan,179106
MN,8th District,REP,Stewart Mills,177095
MS,1st District,REP,Trent Kelly,203142
MS,1st District,DEM,Jacob Owens,82133
MS,1st District,Other,Chase Wilson,6070
MS,1st District,Other,Cathy Toole,3742
MS,2nd District,DEM,Bennie Thompson,181108
MS,2nd District,REP,John Bouie,79773
MS,2nd District,Other,Troy Ray,6622
MS,2nd District,Other,Johnny McLeod,3623
MS,3rd District,REP,Gregg Harper,201280
MS,3rd District,DEM,Dennis Quinn,91992
MS,3rd District,Other,Roger Gerrard,8434
MS,3rd District,Other,Lajena Sheets,2020
MS,4th District,REP,Steven Palazzo,174783
MS,4th District,DEM,Mark Gladney,74176
MS,4th District,Other,Richard McCluskey,14212
MS,4th District,Other,Shawn O'Hara,5063
MO,1st District,DEM,Lacy Clay,231604
MO,1st District,REP,Steven Bailey,61252
MO,1st District,Other,Robb Cunningham,13954
MO,2nd District,REP,Ann Wagner,238826
MO,2nd District,DEM,Bill Otto,153331
MO,2nd District,Other,Jim Higgins,11621
MO,2nd District,Other,David Arnold,3839
MO,3rd District,REP,Blaine Luetkemeyer,248880
